Level of description,Identifier,Title,Date,Description,Location,Format,Rights,Contributor,Collection identifier,Collection title,Published online?,MulMultiMediaRefLocal_1,URL
Item,1979.0162.02477,Workers with hanging meat in storage.,c.1920-1950,"Black and white photograph, two men assessing pig carcasses hanging on hooks grading  in notebook. Previous Control Number: BWP/28,593",,Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,91756,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02477
Item,1979.0162.02478,Boat with a crane at the docks.,c.1920-1950,"Black and white photograph.  
Written on verso Written in pencil on verso:: 2579.
Previous Control Number: BWP/28,594",,Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,91757,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02478
Item,1979.0162.02479,Worker in factory with milk urn.,c.1920-1950,"Black and white photograph.  Dairy industry woker amongst factory machinery pouring milk from large metal urn into a vat. 
Written in pencil on verso:: 2579.
Previous Control Number: BWP/28,595",,Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,91758,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02479
Item,1979.0162.02480,"South Australia, Open cut mining at Leigh Creek, Coal Field.",c.1920-1950,"Black and white photograph.  
Crane and truck. (More information on paper accompanying photograph)
Stamp on verso: South Australia Government Photo, supplied by Publicity and Tourist Bureau; ""Australia To-Day""; 1519.
Previous Control Number: BWP/28,596","Leigh Creek, Coal Field",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,91759,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02480
Item,1979.0162.02481,"Fruit trees in flower in the Adelaide Hills, SA",1948,"Black and white photograph.  
Stamp on verso: ""Australia To-Day""; 1392. Typed: Department of Information photo, L7473.
Previous Control Number: BWP/28,597","Adelaide Hills, SA",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,91760,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02481
Item,1979.0162.02482,"Vineyards in the foothills near Adelaide, SA",1948,"Black and white photograph.  
Stamp on verso: ""Australia To-Day""; 1332. Typed: Department of Information photo, L7439.
Previous Control Number: BWP/28,598","Adelaide, SA",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,91761,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02482
Item,1979.0162.02483,"Hay cutting at Enfield, SA",1948,"Black and white photograph.  
Two men on harvester. Child in hay. Photography notes on verso 
Stamp on verso: ""Australia To-Day""; 1392; copyright photograph. Photographer: Kcischock Studios, Adelaide. Previous Control Number: BWP/28,599","Enfield, SA",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,91762,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02483
Item,1979.0162.02484,"Oakbank Racecourse, the scene of the Great Eastern steeplechase on Easter Monday each year",1948,"Black and white photograph.  Aerial view. Photography notes on back.
Stamp on verso: ""Australia To-Day""; 1392; Government Photo supported by publicity and tourist bureau, reference J/150.
Previous Control Number: BWP/28,600",Oakbank Racecourse,Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,91763,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02484
Item,1979.0162.02485,"Nuriootpa oval, SA",15 September 1947,"Black and white photograph.  Community oval. Cricket match. Information on oval and Nuriootpa on back of photograph. Stamp on verso: ""Australia To-Day""; 2479; department of information. Typed: UL139/14. Citizens of Nuriootpa built this oval for the town. They organised themselves into ""working bees"". They got up at 5 a.m. and worked on it till breakfast time. At night they worked till midnight. They worked all weekends. Funds came from hotel profits. Australian Official Photo. [Additional text present] Written on verso: Community article.
Previous Control Number: BWP/28,601","Nuriootpa oval, SA",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,91764,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02485
Item,1979.0162.02486,"Community Hotel, Renmark, SA",29 August 1947,"Black and white photograph.  
Cars at front of hotel. Photography notes on back.
Stamp on verso: ""Australia To-Day""; 2479. Written on verso: Community article.
Previous Control Number: BWP/28,602","Renmark, SA",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,91765,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02486
Item,1979.0162.02487,"Mothercraft caravan in the main street of Ouyen, VIC",15 September 1947,"Black and white photograph.  
Street with cars, storefronts, monument, woman and child. Information on mothercraft caravan and its travels. Photography notes on back.
Stamp on verso: ""Australia To-Day""; 2479; department of information. Typed: UL196/15, The caravan drives up the main street of Ouyen, the largest town on the caravan's itinerary (population 1,050) where it will spend one and a half days. Then it will leave the macadamised highway and drive along a narrow bumpy dirt road, nearly to the border of South Australia. Australian official photo. [Additional text present]
Previous Control Number: BWP/28,603","Ouyen, VIC",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,91766,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02487
Item,1979.0162.02488,"Associated Pulp & Paper Mills (APPM) in Burnie, Tasmania",20 September 1947,"Black and white photograph. Associated Pulp & Paper Mills (APPM) in Burnie, Tasmania.  
Aerial view. Coastline. Industry. Residential area. Photography notes on back.
Stamp on verso: ""Australia To-Day""; 2463; F932.
Previous Control Number: BWP/28,604","Burnie, Tasmania",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,91767,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02488
Item,1979.0162.02489,"Cape Pillar, Tasman Peninsula, TAS",23 July 1946,"Black and white photograph.  
Aerial view. Photography notes on back.
Stamp on verso: ""Australia To-Day""; 1503; Tasmanian government department lands & surveys, photographic branch, air-survey print, crown copyright. Photographer: Brown & Duncan.
Previous Control Number: BWP/28,605","Cape Pillar, Tasman Peninsula, TAS",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,91768,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02489
Item,1979.0162.02490,"Butter Factory, Coffs Harbour, NSW",1948,"Black and white photograph.  
Photography notes on back.
Stamp on verso: ""Australia To-Day"". Written on verso: 1754, 12291.
Previous Control Number: BWP/28,606","Butter Factory, Coffs Harbour, NSW",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,91769,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02490
Item,1979.0162.02491,"Briggsvale timber mill, Dorrigo, NSW",1948,"Black and white photograph.  
Men moving large piles of timber. Photography notes on back.
Stamp on verso: ""Australia To-Day"". Written on verso: 1754, 12342.
Previous Control Number: BWP/28,607","Dorrigo, NSW",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,91770,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02491
Item,1979.0162.02492,"Collecting hay in Margaret River District, South West",19 June 1947,"Black and white photograph.  
Men loading hay onto back of horse and cart.
Stamp on verso: Copyright W.A. newspapers limited, Perth, W.A.
Previous Control Number: BWP/28,608","Margaret River, WA",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,91771,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02492
Item,1979.0162.02493,NSW railway yards,15 July 1946,"Black and white photograph.  
Railway yards. City in background. Photography notes on back.
Stamp on verso: ""Australia To-Day""; department of railways, N.S.W., photographic section, railway house, no. P.R.480, date 15 July 1946. If re-ordering, quote this number and state size required. This photograph is copyright. Application for permission to publish it should be made at the office of the commissioner for railways, 19 York Street, Sydney. Written on verso: 14334.
Previous Control Number: BWP/28,609",,Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,91772,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02493
Item,1979.0162.02494,"Aerial view of railway station, NSW",1948,"Black and white photograph.  
City. Buildings. 
Stamp on verso: ""Australia To-Day""; department of railways, N.S.W., photographic section, railway house, no. P.R.760, date. If re-ordering, quote this number and state size required. This photograph is copyright. Application for permission to publish it should be made at the office of the commissioner for railways, 19 York Street, Sydney. Written on verso: 14334. 
Previous Control Number: BWP/28,610",,Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,91773,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02494
Item,1979.0162.02495,Aerial view of a section of the city of Melbourne,c.1920-1950,"Black and white photograph.  
Stamp on verso: Copyright herald feature service, Melbourne. Written on verso: 14300.
Previous Control Number: BWP/28,611","Melbourne, VIC",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,91774,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02495
Item,1979.0162.02496,"Notley Fern Gorge near Launceston, Tasmania",12 June 1947,"Black and white photograph.  
Nature. 
Stamp on verso: Photographed and produced by Tasmanian government photographic laboratory, 79 Bathurst Street, Hobart. Written on verso: lands department photo; negative 386.
Previous Control Number: BWP/28,612","Notley Fern Gorge,Tasmania",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,91775,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02496
Item,1979.0162.02497,"Beilsdown Creek, Dorrigo, NSW",1948,"Black and white photograph.  
Nature. Photography notes on back.
Stamp on verso: ""Australia To-Day""; 2401.
Previous Control Number: BWP/28,613","Beilsdown Creek, Dorrigo, NSW",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,91776,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02497
Item,1979.0162.02498,View of Launceston,23 July 1946,"Black and white photograph.  
Bridge, outlook of buildings. 
Written on verso: 1893. Photographer: F Hurley.
Previous Control Number: BWP/28,614","Launceston, TAS",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,91777,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02498
Item,1979.0162.02499,A blue tongued lizard and a mutton bird egg,1948,"Black and white photograph.  
Nature. Photography notes on back.
Stamp on verso: ""Australia To-Day"". Written on verso: the blue tongued lizards and the gulls are very fond of mutton bird eggs; 14277. Photographer: F Lewis.
Previous Control Number: BWP/28,615",,Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,91778,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02499
Item,1979.0162.02500,"Cape Woolamai, Phillip Island, VIC",8 July 1947,"Black and white photograph.  
Nature. 
Stamp on verso: ""Australia To-Day"". Written on verso: 14277, 1385; Vic railways.
Previous Control Number: BWP/28,616","Cape Woolamai, Phillip Island, VIC",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,91779,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02500
Item,1979.0162.02501,Mutton birds' burrows on Cape Woolamai being threatened by drifting sands,1948,"Black and white photograph.  
Nature. Photography notes on back.
Stamp on verso: ""Australia To-Day"". Written on verso: 14277; These are not rabbit holes as they might appear. 
Previous Control Number: BWP/28,617","Cape Woolamai, Phillip Island, VIC",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,91780,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02501
Item,1979.0162.02502,"Banana growing, Coffs Harbour, NSW",1948,"Black and white photograph.  
Man with picked bananas under banana tree. Photography notes on back.
Stamp on verso: ""Australia To-Day""; 2401. Written on verso: 12301.
Previous Control Number: BWP/28,618","Coffs Harbour, NSW",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,91781,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02502
Item,1979.0162.02503,"Sydney Railway Station, NSW",14 December 1944,"Black and white photograph.  
Electric tracks in foreground link with city underground railway. 
Stamp on verso: department of railways, N.S.W., photographic section, railway house, no. P.R.212A, date 14 December 1944. If re-ordering, quote this number and state size required. This photograph [remainder cut off].
Previous Control Number: BWP/28,619","Sydney Railway Station, NSW",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,91782,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02503
Item,1979.0162.02504,"Aerial view of Sydney Harbour and Harbour Bridge, NSW",21 August 1947,"Black and white photograph.  
Photography notes on back.
Written on verso: ""Australia Today 1948"", N.S.W. government tourist advt.; NSW tourism bureau; 21262; 14493.
Previous Control Number: BWP/28,620",Sydney Harbour ,Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,91783,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02504
Item,1979.0162.02505,Woman and children at Rottnest Island< WA,c.1920-1950,"Black and white photograph.  Stamp: Perth. Written on verso: Rottnest Islandâ€¦ W.A's most Popular. 
Previous Control Number: BWP/28,621","Rottnest Island, WA",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,91784,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02505
Item,1979.0162.02506,"Federal Parliament House, Canberra, ACT",26 August 1943,"Black and white photograph.  Photographer: R.C. Strangman.
Previous Control Number: BWP/28,622","Parliament House, Canberra, ACT",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,"Strangman, Richard C.",1979.0162,Commercial Travellers' Association,Yes,91785,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02506
Item,1979.0162.02507,"Parliament House, Melbourne, and in distance, Exhibition Building",29 May 1947,"Black and white photograph.  
Scenic. Cars at front of Parliament House. Photography notes on back.
Stamp: ""Australia To-Day"". Written on verso: 4249, 13668, Vic railways photo.
Previous Control Number: BWP/28,623","Parliament House, Melbourne",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,91786,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02507
Item,1979.0162.02508,River Murray at Albury,29 May 1947,"Black and white photograph.  
Scenic. Photography notes on back.
Stamp: ""Australia To-Day"". Written on verso: 13668; 7059, Vic railways photo.
Previous Control Number: BWP/28,624","River Murray, Albury",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,91787,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02508
Item,1979.0162.02509,"Log train at Pemberton: Centre of WA's timber country, South West",19 June 1947,"Black and white photograph.  
Photography notes on back.
stamp: ""Australia To-Day""; copyright W.A. newspapers, Perth, W.A. Written on verso: 13812. 
Previous Control Number: BWP/28,625","Pemberton, WA",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,91788,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02509
Item,1979.0162.02510,"Mitchell River, Bairnsdale, VIC",29 May 1947,"Black and white photograph.  Scenic. view of  Mitchell River, Bairnsdale, VIC and surroundings, Eucaypts on bank,  pastures in distance. Written on verso: 2102, Victoria railways photo. Previous Control Number: BWP/28,626","Mitchell River, Bairnsdale, VIC",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,91789,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02510
Item,1979.0162.02511,"North Wall, Mount Buffalo, VIC",29 May 1947,"Black and white photograph.  Ariel shot from cliff tops of Mt buffalo looking down to valleys.
Written on verso: 3904, Victoria railways photo. Previous Control Number: BWP/28,627","Mount Buffalo, VIC",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,91790,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02511
Item,1979.0162.02512,"Electric train on an approach to the Sydney Harbour Bridge, NSW",14 March 1946,"Black and white photograph.  Photography notes on back.
Stamp on verso: ""Australia To-Day""; Department of Railways, NSW, photographic section, Railway House. No. PR370B. Date 14 March 1946. If reordering, quote this number and state size required. This photograph is copyright. Application for permission to publish it should be made at the office of the Commissioner for Railways, 19 York Street, Sydney. Written on verso: 13668.
Previous Control Number: BWP/28,628","Sydney Harbour Bridge, NSW",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,91791,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02512
Item,1979.0162.02513,"Interior courts, Parliament House, Canberra, ACT",26 August 1943,"Black and white photograph, Parliament House, Canberra, ACT,  interior courts, two autumnal trees and park benches.   Photography notes on back. Stamp on verso: ""Australia To-Day"". Written on verso: 13699. 
Previous Control Number: BWP/28,629","Parliament House, Canberra, ACT",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,91792,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02513
Item,1979.0162.02514,"A bushland scene on the Cotter River near Canberra, ACT",c.1920-1950,"Black and white photograph of river with rocks on bank and pertruding from water, tree lined bank. Previous Control Number: BWP/28,630","Cotter River, ACT",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,91793,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02514
Item,1979.0162.02515,"St. John's Church, Canberra, ACT",c.1920-1950,"Black and white photograph.  Church of England. Church entrance, surrounding cemetery. Photographer: R.C. Strangman. Previous Control Number: BWP/28,631","St. John's Church, Canberra, ACT",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,"Strangman, Richard C.",1979.0162,Commercial Travellers' Association,Yes,91794,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02515
Item,1979.0162.02516,"Scrub scene with box-wood tree, Lamington National Park, QLD",1948,"Black and white photograph.  Scenic. Woman sitting at base of tree.  Stamp on verso: ""Australia To-Day""; copyright photograph, Queensland government tourist bureau, Adelaide Street Brisbane, from whom authority to reproduce must be obtained; produced by photographic branch Queensland railways; 1414.  Previous Control Number: BWP/28,632","Lamington National Park, QLD",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,91795,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02516
Item,1979.0162.02517,"Sugar fields, Freshwater Creek District near Cairns",1948,"Black and white photograph.  Scenic. Stamp on verso: ""Australia To-Day""; copyright photograph, Queensland government tourist bureau, Adelaide Street Brisbane, from whom authority to reproduce must be obtained; produced by photographic branch Queensland railways; 1414. Written on verso: H426.  Previous Control Number: BWP/28,633",Cairns,Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,91796,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02517
Item,1979.0162.02518,"Green pea harvesting at Darlington, VIC",January 1946,"Black and white photograph.  One farmer driving tractor, other farmers on machinery with forks and harvest haul, Darlington, VIC. Photography notes on back.
Stamp on verso: ""Australia To-Day""; government photo supplied by publicity & tourist bureau, reference B/120. Written on verso: 9862. Previous Control Number: BWP/28,634",,Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,91797,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02518
Item,1979.0162.02519,"Red & white stalactites, Jenolan Caves, NSW",1947,"Black and white photograph.  
Nature. Photography notes on back.
Stamp on verso: ""Australia To-Day""; this photograph may be reproduced or published free of charge on condition same is acknowledged to NSW Government Printer. Written on verso: NSW government tourist; H77, 10288.
Previous Control Number: BWP/28,635","Jenolan Caves, NSW",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,91798,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02519
